detected_at,company,title,location,flags,url
2026-09-03T17:53:00.945963+00:00,SpaceX,"AI Engineer, Special Programs - Top Secret Clearance","Palo Alto, CA",🇺🇸 US citizenship required 🔒 clearance required,https://boards.greenhouse.io/spacex/jobs/8557073002?gh_jid=8557073002
2026-09-03T17:53:00.945963+00:00,SpaceX,AI Software Engineer (Vehicle Engineering),"Hawthorne, CA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8559015002?gh_jid=8559015002
2026-09-03T17:53:00.945963+00:00,SpaceX,Antenna Engineer - Parabolic & Waveguide (Starlink),"Redmond, WA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8692102002?gh_jid=8692102002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Antenna Engineer, Satellites (Starlink)","Redmond, WA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8692241002?gh_jid=8692241002
2026-09-03T17:53:00.945963+00:00,SpaceX,Application Software Engineer,"Bastrop, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8494240002?gh_jid=8494240002
2026-09-03T17:53:00.945963+00:00,SpaceX,Application Software Engineer,"Palo Alto, CA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8611189002?gh_jid=8611189002
2026-09-03T17:53:00.945963+00:00,SpaceX,Application Software Engineer,"Hawthorne, CA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8675909002?gh_jid=8675909002
2026-09-03T17:53:00.945963+00:00,SpaceX,Application Software Engineer,"Starbase, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8611118002?gh_jid=8611118002
2026-09-03T17:53:00.945963+00:00,SpaceX,Application Software Engineer ,"Redmond, WA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8696154002?gh_jid=8696154002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","McGregor, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658740002?gh_jid=8658740002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","Redmond, WA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658744002?gh_jid=8658744002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","Bastrop, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658737002?gh_jid=8658737002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","Vandenberg, CA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658742002?gh_jid=8658742002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","Starbase, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658738002?gh_jid=8658738002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Applied AI","Hawthorne, CA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8658628002?gh_jid=8658628002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Application Software Engineer, Employee Experience","Starbase, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8632106002?gh_jid=8632106002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Automation & Controls Engineer, Infrastructure & Utility (Starship)","Starbase, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8727906002?gh_jid=8727906002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Automation & Controls Engineer, Launch Pad (Starship)","Starbase, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8761271002?gh_jid=8761271002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Automation & Controls Engineer, Solar (Starlink)","Redmond, WA",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8677412002?gh_jid=8677412002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Automation & Controls Engineer, Solar Cell Factory (Starlink)","Bastrop, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8545793002?gh_jid=8545793002
2026-09-03T17:53:00.945963+00:00,SpaceX,"Automation Build Engineer, Development (Starlink) ","Bastrop, TX",🇺🇸 US citizenship required,https://boards.greenhouse.io/spacex/jobs/8696881002?gh_jid=8696881002
